country,year,log_asdr
Sweden,2003,0.8705485241301713
Sweden,2004,0.9093498829866853
Sweden,2005,0.9113343418585096
Sweden,2006,0.9337802006078667
Sweden,2007,1.0224678148352788
Sweden,2008,1.1104637785944484
Sweden,2009,1.1551279975717765
Sweden,2010,1.205648839378771
Sweden,2011,1.2528195305482255
Sweden,2012,1.3104285336831463
Sweden,2013,1.389168590076483
Sweden,2014,1.478556471649626
Sweden,2015,1.534848154143829
Sweden,2016,1.5512192486692555
Sweden,2017,1.5531903655687882
Sweden,2018,1.5123840671002613
Peru,1992,-0.8878922808194494
Peru,1993,-0.8815737458579551
Peru,1994,-0.8514586885499404
Peru,1995,-0.8302602867565101
Peru,1996,-0.8535425329103634
Peru,1997,-0.8260093628785161
Peru,1998,-0.8164716602865902
Peru,1999,-0.8457289476839676
Peru,2000,-0.8947053110914279
Peru,2001,-0.8047525507539358
Peru,2002,-0.7115693201196378
Peru,2003,-0.6370955404823824
Peru,2004,-0.664002316793592
Peru,2005,-0.6580579608660987
Peru,2006,-0.6646636820787021
Peru,2007,-0.6774260923310479
Peru,2008,-0.6741701260758373
Peru,2009,-0.49803530113482863
Peru,2010,-0.499223266614267
Peru,2011,-0.5893872316383428
Peru,2012,-0.6840411806908666
Peru,2013,-0.7248180152523321
Peru,2014,-0.7721133651810033
Peru,2015,-0.8103777104891864
Peru,2016,-0.8411381779078495
Peru,2017,-0.8727798793123149
Peru,2018,-0.7427096353435605
Portugal,1992,0.07855182792713801
Portugal,1993,0.16667604769111005
Portugal,1994,0.22880489485023545
Portugal,1995,0.3030970196062978
Portugal,1996,0.31162395371697965
Portugal,1997,0.3026883856069583
Portugal,1998,0.2878287660947706
Portugal,1999,0.26119389541315696
Portugal,2000,0.22685439551178616
Portugal,2001,0.19080981316961165
Portugal,2002,0.09692354829018403
Portugal,2003,0.022888779342792653
Portugal,2004,-0.03702094325953332
Portugal,2005,-0.12074773807742101
Portugal,2006,-0.15816462878260648
Portugal,2007,-0.09901325284433958
Portugal,2008,-0.07099151634797471
Portugal,2009,-0.060075581576676904
Portugal,2010,-0.06223072669499744
Portugal,2011,-0.10086451953383753
Portugal,2012,-0.11370201841803908
Portugal,2013,-0.1025111829460879
Portugal,2014,-0.08643017762939716
Portugal,2015,-0.07900350236103305
Portugal,2016,-0.054113215734488324
Portugal,2017,-0.0014350047021958366
Portugal,2018,0.04717082432491807
Dominican Republic,1992,-2.6951009915627653
Dominican Republic,1993,-2.609077831936186
Dominican Republic,1994,-2.546436823707679
Dominican Republic,1995,-2.4729129972854995
Dominican Republic,1996,-2.403647270408417
Dominican Republic,1997,-2.3451741118110814
Dominican Republic,1998,-2.3082413046643926
Dominican Republic,1999,-2.2955571553756062
Dominican Republic,2000,-2.2916033017942894
Dominican Republic,2001,-2.2859179724099263
Dominican Republic,2002,-2.2796360288870767
Dominican Republic,2003,-2.2698360419348376
Dominican Republic,2004,-2.271293784095892
Dominican Republic,2005,-2.279208620341944
Dominican Republic,2006,-2.287386326906807
Dominican Republic,2007,-2.313806227481856
Dominican Republic,2008,-2.34532465523997
Dominican Republic,2009,-2.379599023311882
Dominican Republic,2010,-2.4104512982705066
Dominican Republic,2011,-2.434958563312844
Dominican Republic,2012,-2.4299030079335644
Dominican Republic,2013,-2.4053534410048654
Dominican Republic,2014,-2.3773734413081575
Dominican Republic,2015,-2.388525759119799
Dominican Republic,2016,-2.385384029752651
Dominican Republic,2017,-2.376988778573595
Dominican Republic,2018,-2.3780258882964884
Andorra,1992,-2.44917973722165
Andorra,1993,-2.443231847001165
Andorra,1994,-2.4423272804441267
Andorra,1995,-2.446374682069491
